time(sec)  velocity(km/h)  position(m)   Power(kW)
  243       233.66589     11865.38026      8835.51984
  244       233.66589     11930.28745      8835.51984
  245       233.66589     11995.19464      8835.51984
  246       233.66589     12060.10183      8835.51984
  247       233.66589     12125.00903      8835.51984
  248       233.66589     12189.91622      8835.51984
  249       233.66589     12254.82341      8835.51984
  250       233.66589     12319.73060      8835.51984
  251       233.66589     12384.63779      8835.51984
  252       233.66589     12449.54499      8835.51984
  253       233.66589     12514.45218      8835.51984
  254       233.66589     12579.35937      8835.51984
  255       233.66589     12644.26656      8835.51984
  256       233.66589     12709.17375      8835.51984
  257       233.66589     12774.08095      8835.51984
  258       233.66589     12838.98814      8835.51984
  259       233.66589     12903.89533      8835.51984
  260       233.66589     12968.80252      8835.51984
  261       233.66589     13033.70971      8835.51984
  262       233.66589     13098.61691      8835.51984
  263       233.66589     13163.52410      8835.51984
  264       233.66589     13228.43129      8835.51984
  265       233.66589     13293.33848      8835.51984
  266       233.66589     13358.24567      8835.51984
  267       233.66589     13423.15287      8835.51984
  268       233.66589     13488.06006      8835.51984
  269       233.66589     13552.96725      8835.51984
  270       233.66589     13617.87444      8835.51984
  271       233.66589     13682.78163      8835.51984
  272       233.66589     13747.68883      8835.51984
  273       233.66589     13812.59602      8835.51984
  274       233.66589     13877.50321      8835.51984
  275       233.66589     13942.41040      8835.51984
  276       233.66589     14007.31759      8835.51984
  277       233.66589     14072.22479      8835.51984
  278       233.66589     14137.13198      8835.51984
  279       233.66589     14202.03917      8835.51984
  280       233.66589     14266.94636      8835.51984
  281       233.66589     14331.85355      8835.51984
  282       233.66589     14396.76074      8835.51984
  283       233.66589     14461.66794      8835.51984
  284       233.66589     14526.57513      8835.51984
  285       233.66589     14591.48232      8835.51984
  286       233.66589     14656.38951      8835.51984
  287       233.66589     14721.29670      8835.51984
  288       233.66589     14786.20390      8835.51984
  289       233.66589     14851.11109      8835.51984
  290       233.66589     14916.01828      8835.51984
  291       233.66589     14980.92547      8835.51984
  292       233.66589     15045.83266      8835.51984
  293       233.66589     15110.73986      8835.51984
  294       233.66589     15175.64705      8835.51984
  295       233.66589     15240.55424      8835.51984
  296       233.66589     15305.46143      8835.51984
  297       233.66589     15370.36862      8835.51984
  298       233.66589     15435.27582      8835.51984
  299       233.66589     15500.18301      8835.51984
  300       233.66589     15565.09020      8835.51984
  301       233.66589     15629.99739      8835.51984
  302       233.66589     15694.90458      8835.51984
  303       233.66589     15759.81178      8835.51984
  304       233.66589     15824.71897      8835.51984
  305       233.66589     15889.62616      8835.51984
  306       233.66589     15954.53335      8835.51984
  307       233.66589     16019.44054      8835.51984
  308       233.16160     16084.27770         0.00000
  309       232.65828     16148.97490         0.00000
  310       232.15593     16213.53243         0.00000
  311       231.65455     16277.95056         0.00000
  312       231.15413     16342.22954         0.00000
  313       230.65467     16406.36965         0.00000
  314       230.15616     16470.37115         0.00000
  315       229.65860     16534.23432         0.00000
  316       229.16200     16597.95940         0.00000
  317       228.66633     16661.54667         0.00000
  318       228.17161     16724.99638         0.00000
  319       227.67782     16788.30880         0.00000
  320       227.18497     16851.48419         0.00000
  321       226.69305     16914.52280         0.00000
  322       226.20206     16977.42490         0.00000
  323       225.71199     17040.19074         0.00000
  324       225.22284     17102.82058         0.00000
  325       224.73461     17165.31467         0.00000
  326       224.24729     17227.67327         0.00000
  327       223.76088     17289.89662         0.00000
  328       223.27538     17351.98499         0.00000
  329       222.79079     17413.93863         0.00000
  330       222.30709     17475.75778         0.00000
  331       221.82430     17537.44269         0.00000
  332       221.34239     17598.99362         0.00000
  333       220.86138     17660.41081         0.00000
  334       220.38125     17721.69451         0.00000
  335       219.90201     17782.84497         0.00000
  336       219.42366     17843.86242         0.00000
  337       218.94618     17904.74712         0.00000
  338       218.46957     17965.49931         0.00000
  339       217.99384     18026.11922         0.00000
  340       217.51897     18086.60712         0.00000
  341       217.04497     18146.96322         0.00000
