time(sec)  velocity(km/h)  position(m)   Power(kW)
 1046       222.86008     48079.43321         0.00000
 1047       222.60299     48141.30308         0.00000
 1048       222.34637     48203.10161         0.00000
 1049       222.09023     48264.82891         0.00000
 1050       221.83456     48326.48513         0.00000
 1051       221.57937     48388.07040         0.00000
 1052       221.32465     48449.58485         0.00000
 1053       221.07040     48511.02861         0.00000
 1054       220.81662     48572.40180         0.00000
 1055       220.56330     48633.70457         0.00000
 1056       220.31046     48694.93703         0.00000
 1057       220.05807     48756.09933         0.00000
 1058       219.80616     48817.19158         0.00000
 1059       219.55470     48878.21393         0.00000
 1060       219.30371     48939.16648         0.00000
 1061       219.05318     49000.04939         0.00000
 1062       218.80311     49060.86276         0.00000
 1063       218.55349     49121.60673         0.00000
 1064       218.30434     49182.28143         0.00000
 1065       218.05563     49242.88698         0.00000
 1066       217.80738     49303.42351         0.00000
 1067       217.55959     49363.89115         0.00000
 1068       217.31224     49424.29001         0.00000
 1069       217.06535     49484.62023         0.00000
 1070       216.81891     49544.88194         0.00000
 1071       216.57291     49605.07524         0.00000
 1072       216.32736     49665.20028         0.00000
 1073       216.08226     49725.25717         0.00000
 1074       215.83760     49785.24604         0.00000
 1075       215.59338     49845.16701         0.00000
 1076       215.34960     49905.02020         0.00000
 1077       215.37149     49964.84258         0.00000
 1078       215.39334     50024.67103         0.00000
 1079       215.41515     50084.50554         0.00000
 1080       215.43692     50144.34611         0.00000
 1081       215.45865     50204.19271         0.00000
 1082       215.48034     50264.04535         0.00000
 1083       215.50200     50323.90401         0.00000
 1084       215.52361     50383.76868         0.00000
 1085       215.54518     50443.63934         0.00000
 1086       215.56672     50503.51600         0.00000
 1087       215.58822     50563.39863         0.00000
 1088       215.60967     50623.28722         0.00000
 1089       215.63109     50683.18177         0.00000
 1090       215.65247     50743.08227         0.00000
 1091       215.67381     50802.98870         0.00000
 1092       215.69512     50862.90105         0.00000
 1093       215.71638     50922.81931         0.00000
 1094       215.73761     50982.74348         0.00000
 1095       215.75879     51042.67353         0.00000
 1096       215.77994     51102.60947         0.00000
 1097       215.80105     51162.55127         0.00000
 1098       215.82212     51222.49893         0.00000
 1099       215.84316     51282.45245         0.00000
 1100       215.86415     51342.41180         0.00000
 1101       215.88511     51402.37697         0.00000
 1102       215.90603     51462.34796         0.00000
 1103       215.92692     51522.32476         0.00000
 1104       215.94776     51582.30736         0.00000
 1105       215.96857     51642.29573         0.00000
 1106       215.98934     51702.28989         0.00000
 1107       216.01007     51762.28980         0.00000
 1108       216.03076     51822.29547         0.00000
 1109       216.05142     51882.30689         0.00000
 1110       216.07204     51942.32403         0.00000
 1111       216.09262     52002.34690         0.00000
 1112       216.11316     52062.37548         0.00000
 1113       216.13367     52122.40977         0.00000
 1114       216.15414     52182.44974         0.00000
 1115       216.17457     52242.49539         0.00000
 1116       216.19497     52302.54672         0.00000
 1117       216.21533     52362.60370         0.00000
 1118       216.23565     52422.66634         0.00000
 1119       216.25593     52482.73461         0.00000
 1120       216.27618     52542.80852         0.00000
 1121       216.03117     52602.85121         0.00000
 1122       215.78660     52662.82590         0.00000
 1123       215.54248     52722.73272         0.00000
 1124       215.29880     52782.57178         0.00000
 1125       215.05555     52842.34322         0.00000
 1126       214.81275     52902.04715         0.00000
 1127       214.57038     52961.68370         0.00000
 1128       214.32846     53021.25298         0.00000
 1129       214.08696     53080.75512         0.00000
 1130       213.84590     53140.19024         0.00000
 1131       213.60528     53199.55846         0.00000
 1132       213.36509     53258.85990         0.00000
 1133       213.12532     53318.09468         0.00000
 1134       212.88599     53377.26292         0.00000
 1135       212.64709     53436.36473         0.00000
 1136       212.40861     53495.40025         0.00000
 1137       212.17056     53554.36958         0.00000
 1138       211.93294     53613.27284         0.00000
 1139       211.69574     53672.11016         0.00000
 1140       211.45896     53730.88164         0.00000
 1141       211.22260     53789.58742         0.00000
 1142       210.98667     53848.22759         0.00000
 1143       210.75115     53906.80229         0.00000
 1144       210.51606     53965.31162         0.00000
 1145       210.28138     54023.75571         0.00000
 1146       210.04711     54082.13467         0.00000
 1147       209.81326     54140.44861         0.00000
 1148       209.57983     54198.69765         0.00000
 1149       209.34681     54256.88190         0.00000
 1150       209.11420     54315.00149         0.00000
 1151       208.88200     54373.05652         0.00000
 1152       208.65021     54431.04710         0.00000
 1153       208.41883     54488.97335         0.00000
 1154       208.18785     54546.83539         0.00000
 1155       207.95728     54604.63333         0.00000
 1156       207.72712     54662.36727         0.00000
 1157       207.49736     54720.03734         0.00000
 1158       207.26801     54777.64364         0.00000
 1159       207.03906     54835.18629         0.00000
 1160       206.81050     54892.66540         0.00000
 1161       206.58235     54950.08107         0.00000
 1162       206.35460     55007.43342         0.00000
 1163       206.12724     55064.72257         0.00000
 1164       205.90028     55121.94861         0.00000
 1165       205.67372     55179.11167         0.00000
 1166       205.44755     55236.21185         0.00000
 1167       205.22178     55293.24926         0.00000
 1168       204.99640     55350.22400         0.00000
 1169       204.77141     55407.13620         0.00000
 1170       204.54681     55463.98595         0.00000
 1171       204.32260     55520.77337         0.00000
 1172       204.09878     55577.49856         0.00000
 1173       203.87534     55634.16163         0.00000
 1174       203.65230     55690.76269         0.00000
 1175       203.42964     55747.30185         0.00000
 1176       203.20736     55803.77921         0.00000
 1177       202.98547     55860.19488         0.00000
 1178       202.76395     55916.54897         0.00000
 1179       202.54283     55972.84158         0.00000
 1180       202.32208     56029.07281         0.00000
 1181       202.10171     56085.24278         0.00000
